"","ID","BP_PA"
"1",1,1.15352483666314e-05
"2",2,2.97424155577708e-05
"3",3,9.0613477634308e-05
"4",4,2.48591103574241e-05
"5",5,2.41513537666542e-05
"6",6,2.38187984717508e-12
"7",7,0.000218716014908142
"8",8,3.73467382277496e-05
"9",9,0.000677649671574671
"10",10,0.000137897092176923
"11",11,0.000164837777173639
"12",12,5.44243694035616e-05
"13",13,8.6646656499611e-05
"14",14,0.00011233470571825
"15",15,8.60091940704987e-05
"16",16,4.73117868821955e-06
"17",17,6.71651023828177e-05
"18",18,2.8313103057373e-05
"19",19,4.92529827505292e-05
"20",20,2.34674397676372e-05
"21",21,2.89667728524755e-05
"22",22,2.89549260283241e-05
"23",23,1.06968239634402e-05
"24",24,2.43974792661394e-05
"25",25,1.59172391018765e-05
"26",26,2.8776940055973e-05
"27",27,7.03980199991467e-06
"28",28,2.12118971201194e-06
"29",29,2.0661726403409e-06
"30",30,9.81693489214926e-05
"31",31,0.00017139694333567
"32",32,6.12107730878565e-05
"33",33,3.29071410980851e-05
"34",34,4.82580858812986e-05
"35",35,8.0346095342444e-05
"36",36,0.000176992088712389
"37",37,9.09426942591281e-05
"38",38,7.89721026124232e-05
"39",39,2.19964226722178e-05
"40",40,9.60139271404912e-05
"41",41,2.21160740234569e-05
"42",42,2.01759962819066e-05
"43",43,0.000127943504644359
"44",44,7.44977321211813e-05
"45",45,2.95237592260665e-05
"46",46,3.18219403417446e-05
"47",47,2.98688855992231e-05
"48",48,0.000204282447333958
"49",49,1.9805132148318e-05
"50",50,7.21059472715778e-05
"51",51,2.11426208462251e-05
"52",52,1.5184974423126e-05
"53",53,2.37145490075407e-05
"54",54,8.51504716920305e-05
"55",55,8.41178295655371e-05
"56",56,0.000259312189496305
"57",57,3.14756430544498e-05
"58",58,4.09008183961636e-06
"59",59,1.23140269216442e-05
"60",60,5.34635075001341e-05
"61",61,0.00104875264403521
"62",62,5.30251540819092e-05
"63",63,2.64060715485362e-05
"64",64,3.82443478721275e-05
"65",65,2.9529764031945e-05
"66",66,2.69484174669941e-05
"67",67,0.000452026640462957
"68",68,6.22949039931055e-05
"69",69,3.23272829115723e-05
"70",70,7.42245230519921e-05
"71",71,3.25664814149873e-05
"72",72,3.96624232781043e-06
"73",73,1.35620104119326e-05
"74",74,0.000151266329596533
"75",75,0.000102076726989312
"76",76,0.000295174892617917
"77",77,3.37884774275687e-05
"78",78,0.000283119315792239
"79",79,0.000144205325814631
"80",80,0.000194347254313423
"81",81,0.000484139339007387
"82",82,0.000378209849734942
"83",83,0.000181357878194671
"84",84,6.64284988812487e-05
"85",85,0.000173139429123561
"86",86,7.042477360238e-05
"87",87,0.000314448205582675
"88",88,0.000146102115336729
"89",89,0.000206150001858703
"90",90,0.00114578679517222
"91",91,0.000178502224404863
"92",92,1.94308896821515e-05
"93",93,1.29722676665638e-05
"94",94,2.61935490849377e-05
"95",95,0.000117278503310051
"96",96,5.69005637039372e-05
"97",97,4.52723190685835e-05
"98",98,2.85387388245708e-05
"99",99,3.34352233705703e-05
"100",100,0.000147810906362648
"101",101,2.95190481410553e-05
"102",102,1.3039474663642e-05
"103",103,3.49392065407236e-06
"104",104,3.05870968881194e-06
"105",105,9.4392898476813e-06
"106",106,0
"107",107,6.25067486743553e-05
"108",108,0.000150368034478565
"109",109,4.38754892148846e-05
"110",110,1.41925767949791e-05
"111",111,3.25171766971125e-05
"112",112,3.13640991197518e-05
"113",113,4.3037186944191e-05
"114",114,5.48598753367595e-05
"115",115,1.13187986396973e-05
"116",116,1.5297429737382e-05
"117",117,1.41676642768058e-05
"118",118,5.87419215917469e-05
"119",119,7.37329802615012e-05
"120",120,8.43660501740558e-05
"121",121,7.79972129330131e-05
"122",122,0.00015389090182658
"123",123,0.00117906215380224
"124",124,0.000121418266927943
"125",125,0.00025485221087185
"126",126,3.98688785184303e-05
"127",127,9.30909968238634e-05
"128",128,8.50950744594322e-05
"129",129,1.58619219527534e-05
"130",130,6.51642986561909e-05
"131",131,0.000198253913110161
"132",132,0.000179165870900804
"133",133,0.000691521299604056
"134",134,0.000195095860679618
"135",135,1.18252239975995e-05
"136",136,1.41014108186607e-06
"137",137,0.00225270332239662
"138",138,0.000228840228059944
"139",139,0.000774659616476965
"140",140,2.4695040649378e-06
"141",141,3.62205188689569e-05
"142",142,4.00483460367297e-05
"143",143,1.87049738865659e-05
